X.chrom	chromStart	chromEnd	gene_id	score	strand	name	exonic_length
2	162266065	162266181	ENSG00000271924.1	.	+	5S_rRNA	117
12	34358634	34358752	ENSG00000272435.1	.	+	5S_rRNA	119
14	68123822	68123928	ENSG00000272253.1	.	-	5S_rRNA	107
16	34977639	34990886	ENSG00000261122.2	.	+	5S_rRNA	2154
X	68892323	68892441	ENSG00000272351.1	.	+	5S_rRNA	119
X	147089620	147089735	ENSG00000201285.1	.	-	5S_rRNA	116
X	150194767	150194878	ENSG00000212595.1	.	-	5S_rRNA	112
5	68266266	68325992	ENSG00000249352.3	.	-	7SK	1449
6	136866330	136866630	ENSG00000271765.1	.	+	7SK	301
8	144624280	144624570	ENSG00000254144.2	.	+	7SK	291
13	45697228	45697549	ENSG00000271818.1	.	+	7SK	322
16	81993524	81996298	ENSG00000260682.2	.	+	7SK	2775
21	26467335	26475983	ENSG00000232512.2	.	+	7SK	799
X	12632122	12632316	ENSG00000271814.1	.	-	7SK	195
2	64110383	64110525	ENSG00000251775.1	.	-	ACA59	143
2	179887984	179888105	ENSG00000252000.1	.	-	ACA59	122
11	114998938	114999093	ENSG00000252870.1	.	-	ACA59	156
1	161110998	161111126	ENSG00000238934.1	.	-	ACA64	129
4	140357522	140357648	ENSG00000239005.1	.	-	ACA64	127
11	119194003	119194119	ENSG00000252119.1	.	-	ACA64	117
16	12391054	12391180	ENSG00000238685.1	.	-	ACA64	127
X	80112575	80112701	ENSG00000239008.1	.	-	ACA64	127
X	87403793	87403919	ENSG00000252016.1	.	+	ACA64	127
17	61554422	61599205	ENSG00000159640.10	.	+	ACE	10469
17	61562184	61599209	ENSG00000264813.1	.	+	ACE	4862
X	155233883	155255299	ENSG00000270726.1	.	+	AJ271736.10	2131
Y	59336889	59358305	ENSGR0000270726.1	.	+	AJ271736.10	2131
X	1710486	1721407	ENSG00000197976.6	.	+	AKAP17A	4075
Y	1660486	1671407	ENSGR0000197976.6	.	+	AKAP17A	4075
X	425316	425416	ENSG00000266731.1	.	-	AL732314.1	101
Y	375316	375416	ENSGR0000266731.1	.	-	AL732314.1	101
11	111652919	111742305	ENSG00000086848.10	.	-	ALG9	8014
11	111657010	111750149	ENSG00000258529.1	.	-	ALG9	3347
X	155058248	155059239	ENSG00000237801.1	.	-	AMDP1	992
Y	59161254	59162245	ENSGR0000237801.1	.	-	AMDP1	992
9	38540566	38620657	ENSG00000180071.14	.	-	ANKRD18A	7282
9	38540566	38577204	ENSG00000273170.1	.	-	ANKRD18A	2558
7	30893010	30965131	ENSG00000240583.6	.	+	AQP1	3888
7	30893010	30963427	ENSG00000250424.3	.	+	AQP1	1524
X	1733894	1761974	ENSG00000196433.7	.	+	ASMT	1846
Y	1683894	1711974	ENSGR0000196433.7	.	+	ASMT	1846
X	1522032	1572655	ENSG00000169093.10	.	-	ASMTL	3506
Y	1472032	1522655	ENSGR0000169093.10	.	-	ASMTL	3506
